date,stepcount,caloriesburned,hoursofsleep,weight_kg
10/6/2019,5464,181,5,66
10/7/2019,6041,197,8,66
10/8/2019,25,0,5,66
10/9/2019,5461,174,4,66
10/10/2019,6915,223,5,66
10/11/2019,4545,149,6,66
10/12/2019,4340,140,6,66
10/13/2019,1230,38,7,66
10/13/2019,61,1,5,66
10/15/2019,1258,40,6,65
10/16/2019,3148,101,8,65
10/17/2019,4687,152,5,65
10/18/2019,4732,150,6,65
10/19/2019,3519,113,7,65
10/20/2019,1580,49,5,65
10/21/2019,2822,86,6,65
10/22/2019,181,6,8,65
10/23/2019,3158,99,5,65
10/24/2019,4383,143,4,64
10/25/2019,3881,125,5,64
10/26/2019,4037,129,6,64
10/27/2019,202,6,8,64
10/28/2019,292,9,5,64
10/29/2019,330,10,6,64
10/30/2019,2209,72,5,64
10/31/2019,4550,150,8,64
11/1/2019,4435,141,5,64
11/2/2019,4779,156,4,64
11/3/2019,1831,57,5,64
11/4/2019,2255,72,4,64
11/5/2019,539,17,5,64
11/6/2019,5464,181,4,64
11/7/2019,6041,197,3,64
11/8/2019,4068,131,2,64
11/9/2019,4683,154,9,64
11/10/2019,4033,137,5,64
11/11/2019,6314,193,6,64
11/12/2019,614,19,4,64
11/13/2019,3149,101,5,64
11/14/2019,4005,139,8,64
11/15/2019,4880,164,4,64
11/16/2019,4136,137,5,64
11/17/2019,705,22,6,64
11/18/2019,570,17,5,64
11/19/2019,269,9,6,64
11/20/2019,4275,145,5,64
11/21/2019,5999,192,6,64
11/22/2019,4421,146,5,64
11/23/2017,6930,234,6,64
11/24/2019,5195,167,5,64
11/25/2019,546,16,6,64
11/26/2019,493,17,7,64
11/27/2019,995,32,6,64
11/28/2019,1163,35,7,64
11/29/2019,6676,220,6,64
11/30/2019,3608,116,5,64
12/1/2019,774,23,6,64
12/2/2019,1421,44,7,64
12/3/2019,4064,131,8,64
12/4/2019,2725,86,8,64
12/5/2019,5934,194,7,64
12/6/2019,1867,60,8,64
12/7/2019,3721,121,5,64
12/8/2019,2374,76,4,64
12/9/2019,2909,93,3,64
12/10/2019,1648,53,3,64
12/11/2019,799,25,4,64
12/12/2019,7102,227,5,64
12/13/2019,3941,125,5,64
12/14/2019,7422,243,5,64
12/15/2019,437,14,3,64
12/16/2019,1231,39,4,64
12/17/2019,1696,55,4,64
12/18/2019,4921,158,5,64
12/19/2019,221,7,5,64
12/20/2019,6500,213,5,64
12/21/2019,3575,116,5,64
12/22/2019,4061,129,5,64
12/23/2019,651,21,5,64
12/24/2019,753,28,4,64
12/25/2019,518,16,3,64
12/26/2019,5537,180,4,64
12/27/2019,4108,138,5,64
12/28/2019,5376,176,5,64
12/29/2019,3066,99,4,64
12/30/2019,177,5,5,64
12/31/2019,36,1,3,64
1/1/2020,299,10,3,64
1/2/2020,1447,47,3,64
